timestamp,mavros_connected,px4_armed,px4_mode,alignment_complete,rf2o_valid,rf2o_age_sec,aligned_x,aligned_y,aligned_yaw_deg,px4_x,px4_y,px4_yaw_deg,position_difference_m,yaw_difference_deg,publishing_to_px4,rejection_reason
1785677737.044022,true,false,AUTO.LOITER,true,true,0.041465,-9.321865,8.982400,-149.508940,-9.321620,8.982297,-149.743275,0.000266,0.234336,true,none
1785677738.044035,true,false,AUTO.LOITER,true,true,0.041428,-9.323563,8.984256,-149.796946,-9.322202,8.977633,-149.515620,0.006760,-0.281326,true,none
1785677739.044028,true,false,AUTO.LOITER,true,true,0.143409,-9.324616,8.985654,-149.841443,-9.325241,8.976484,-149.596667,0.009191,-0.244776,true,none
1785677740.044067,true,false,AUTO.LOITER,true,true,0.044197,-9.324756,8.985465,-149.728755,-9.329470,8.976520,-149.637268,0.010111,-0.091487,true,none
1785677741.046895,true,false,AUTO.LOITER,true,true,0.045537,-9.324175,8.984892,-149.968604,-9.331610,8.977715,-149.677626,0.010334,-0.290977,true,none
1785677742.044066,true,false,AUTO.LOITER,true,true,0.043243,-9.324643,8.985402,-149.842849,-9.328723,8.977534,-149.713146,0.008863,-0.129703,true,none
1785677743.044022,true,false,AUTO.LOITER,true,true,0.143260,-9.324494,8.984710,-149.917117,-9.325520,8.980271,-149.748658,0.004556,-0.168458,true,none
1785677744.044027,true,false,AUTO.LOITER,true,true,0.144500,-9.324129,8.984530,-150.133813,-9.327912,8.991587,-149.791664,0.008007,-0.342148,true,none
1785677745.044028,true,false,AUTO.LOITER,true,true,0.038455,-9.324280,8.984734,-150.410058,-9.324983,8.990250,-149.835710,0.005560,-0.574348,true,none
1785677746.044025,true,false,AUTO.LOITER,true,true,0.041781,-9.324573,8.984868,-150.059765,-9.325684,8.984303,-149.864718,0.001247,-0.195047,true,none
1785677747.044051,true,false,AUTO.LOITER,true,true,0.143106,-9.323907,8.984310,-149.882533,-9.323541,8.984528,-149.898785,0.000426,0.016251,true,none
1785677748.044025,true,false,AUTO.LOITER,true,true,0.042202,-9.323891,8.984199,-150.040652,-9.323254,8.984012,-149.914404,0.000665,-0.126248,true,none
1785677749.044027,true,false,AUTO.LOITER,true,true,0.040065,-9.324400,8.984757,-150.028080,-9.322579,8.982169,-149.916703,0.003164,-0.111377,true,none
1785677750.044028,true,false,AUTO.LOITER,true,true,0.043507,-9.325013,8.985425,-149.840922,-9.322365,8.982268,-149.926054,0.004120,0.085132,true,none
1785677751.044033,true,false,AUTO.LOITER,true,true,0.139592,-9.323328,8.984356,-149.900252,-9.322781,8.982481,-149.929180,0.001954,0.028928,true,none
1785677752.044044,true,false,AUTO.LOITER,true,true,0.042877,-9.323461,8.984715,-150.216800,-9.323215,8.982703,-149.932356,0.002027,-0.284444,true,none
